error,id,institute,state,branch,quota,category,gender,opening_rank,closing_rank
,477,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,4480,4617
,478,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),6696,6696
,479,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,EWS (PWD),Gender-Neutral,186,186
,480,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,7074,8117
,481,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),10681,14223
,482,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,476,476
,483,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2674,4275
,484,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7305,7598
,485,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,612,662
,486,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Civil Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1771,1771
,487,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,3919,7706
,488,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),12686,15296
,489,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,118,221
,490,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,1242,1433
,491,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),2446,2462
,492,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,EWS (PWD),Gender-Neutral,58,58
,493,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,1572,3377
,494,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),5757,8746
,495,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PWD),Gender-Neutral,164,221
,496,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1016,1813
,497,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),1891,2752
,498,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,SC (PWD),Gender-Neutral,55,55
,499,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,937,1428
,500,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),1454,1700
,501,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",HS,ST (PWD),Gender-Neutral,53,53
,502,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,3889,5894
,503,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),7088,10634
,504,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,193,252
,505,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,913,1059
,506,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),1791,1832
,507,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,EWS (PWD),Gender-Neutral,76,76
,508,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,1519,2487
,509,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),4748,5793
,510,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,151,151
,511,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,1101,1378
,512,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),1776,2152
,513,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,SC (PWD),Gender-Neutral,111,111
,514,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,399,575
,515,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),617,1413
,516,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OS,ST (PWD),Gender-Neutral,48,48
,517,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,12373,16723
,518,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),23660,27406
,519,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,921,921
,520,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2746,3031
,521,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),5218,5218
,522,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,5655,6827
,523,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),11394,15191
,524,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,2309,4030
,525,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),7763,8145
,526,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,752,2185
,527,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),2989,2989
,528,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,11784,14987
,529,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),19938,22876
,530,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,937,937
,531,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,2434,2717
,532,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),4100,4100
,533,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,4596,5473
,534,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),11444,11943
,535,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,431,431
,536,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3027,3854
,537,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),5199,6299
,538,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,894,1264
,539,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electrical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1520,1520
,540,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,5720,12048
,541,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),18098,22195
,542,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,554,554
,543,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,2011,2131
,544,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),4167,4847
,545,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,EWS (PWD),Gender-Neutral,164,164
,546,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,3820,5552
,547,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),9175,14277
,548,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PWD),Gender-Neutral,541,541
,549,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,1832,3235
,550,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),5276,6458
,551,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,SC (PWD),Gender-Neutral,101,101
,552,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1138,2154
,553,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),2402,2402
,554,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,8476,11036
,555,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),12743,15267
,556,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,584,607
,557,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,1710,1879
,558,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),2771,2876
,559,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,3276,4311
,560,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),6975,8010
,561,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,259,259
,562,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,2475,3025
,563,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),3349,5617
,564,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,SC (PWD),Gender-Neutral,125,125
,565,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1003,1224
,566,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),1254,1254
,567,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",OS,ST (PWD),Gender-Neutral,73,73
,568,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,31345,36380
,569,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),39734,43398
,570,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,2984,2984
,571,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,6011,6337
,572,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),8104,8104
,573,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,11772,13164
,574,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),22131,23218
,575,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,4073,7046
,576,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),10678,10678
,577,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,3133,3225
,578,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),5435,5435
,579,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,26923,31895
,580,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),40566,42667
,581,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,5714,5830
,582,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),7501,7501
,583,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,10992,11878
,584,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),18086,18803
,585,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,1280,1280
,586,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,6389,6919
,587,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),10139,10139
,588,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,2322,2744
,589,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,15791,24359
,590,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),28376,36642
,591,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,General (PWD),Gender-Neutral,1217,1217
,592,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,3888,4416
,593,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),6467,7136
,594,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,5768,9965
,595,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),17592,21146
,596,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,OBC-NCL (PWD),Gender-Neutral,526,526
,597,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3945,4835
,598,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),7398,8996
,599,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Gender-Neutral,1780,2805
,600,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",HS,ST,Female-only (including Supernumerary),1998,1998
,601,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,General,Gender-Neutral,14903,19390
,602,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,General,Female-only (including Supernumerary),29307,32822
,603,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,General (PWD),Gender-Neutral,1003,1529
,604,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Gender-Neutral,3154,3475
,605,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,EWS,Female-only (including Supernumerary),6119,6137
,606,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Gender-Neutral,5596,6924
,607,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL,Female-only (including Supernumerary),14899,15547
,608,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,OBC-NCL (PWD),Gender-Neutral,689,689
,609,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Gender-Neutral,3109,4817
,610,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,SC,Female-only (including Supernumerary),7113,8733
,611,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Gender-Neutral,1495,1733
,612,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Mechanical Engineering (4 Years, Bachelor of Technology)",OS,ST,Female-only (including Supernumerary),2172,2172
,613,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,General,Gender-Neutral,628,2600
,614,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,General,Female-only (including Supernumerary),1698,2008
,615,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,EWS,Gender-Neutral,287,292
,616,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,EWS,Female-only (including Supernumerary),978,978
,617,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,OBC-NCL,Gender-Neutral,765,2540
,618,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,OBC-NCL,Female-only (including Supernumerary),2567,2567
,619,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,SC,Gender-Neutral,165,469
,620,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,SC,Female-only (including Supernumerary),448,448
,621,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",HS,ST,Gender-Neutral,166,312
,622,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,General,Gender-Neutral,333,687
,623,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,General,Female-only (including Supernumerary),263,380
,624,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,EWS,Gender-Neutral,64,170
,625,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,OBC-NCL,Gender-Neutral,180,366
,626,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,OBC-NCL,Female-only (including Supernumerary),380,481
,627,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,SC,Gender-Neutral,33,135
,628,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,SC,Female-only (including Supernumerary),147,147
,629,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,"Planning (4 Years, Bachelor of Planning)",OS,ST,Gender-Neutral,40,40
,630,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh ,"Planning (4 Years, Bachelor of Planning)",OS,ST,Female-only (including Supernumerary),37,37
,631,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,General,Gender-Neutral,26320,29564
,632,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,General,Female-only (including Supernumerary),38646,40684
,633,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Gender-Neutral,5364,5385
,634,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,EWS,Female-only (including Supernumerary),7265,7265
,635,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Gender-Neutral,8180,10436
,636,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,OBC-NCL,Female-only (including Supernumerary),12844,12844
,637,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Gender-Neutral,3658,4600
,638,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC,Female-only (including Supernumerary),7184,7184
,639,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,"Bio Technology (4 Years, Bachelor of Technology)",HS,SC (PWD),Gender-Neutral,44,44
